date,eur_uah
2024-10-14,45.0238
2024-10-15,44.9575
2024-10-16,44.9232
2024-10-17,44.9132
2024-10-18,44.7937
2024-10-19,44.7937
2024-10-20,44.7937
2024-10-21,44.7272
2024-10-22,44.813
2024-10-23,44.7081
2024-10-24,44.4355
2024-10-25,44.5413
2024-10-26,44.5413
2024-10-27,44.5413
2024-10-28,44.7136
2024-10-29,44.6975
2024-10-30,44.6074
2024-10-31,44.635
2024-11-01,44.8467
2024-11-02,44.8467
2024-11-03,44.8467
2024-11-04,44.968
2024-11-05,45.1417
2024-11-06,45.1503
2024-11-07,44.3374
2024-11-08,44.5642
2024-11-09,44.5642
2024-11-10,44.5642
2024-11-11,44.4864
2024-11-12,43.9949
2024-11-13,43.9416
2024-11-14,43.9499
2024-11-15,43.4677
2024-11-16,43.4677
2024-11-17,43.4677
2024-11-18,43.6532
2024-11-19,43.6345
2024-11-20,43.691
2024-11-21,43.5635
2024-11-22,43.4659
2024-11-23,43.4659
2024-11-24,43.4659
2024-11-25,42.9927
2024-11-26,43.4733
2024-11-27,43.6824
2024-11-28,43.8017
2024-11-29,43.8626
2024-11-30,43.8626
2024-12-01,43.8626
2024-12-02,43.901
2024-12-03,43.7242
2024-12-04,43.8238
2024-12-05,43.7043
2024-12-06,43.8146
2024-12-07,43.8146
2024-12-08,43.8146
2024-12-09,43.8567
2024-12-10,43.8525
2024-12-11,43.8215
2024-12-12,43.7997
2024-12-13,43.7042
2024-12-14,43.7042
2024-12-15,43.7042
2024-12-16,43.7373
2024-12-17,43.8064
2024-12-18,43.9143
2024-12-19,43.9581
2024-12-20,43.577
2024-12-21,43.577
2024-12-22,43.577
2024-12-23,43.5114
2024-12-24,43.6454
2024-12-25,43.6334
2024-12-26,43.5159
2024-12-27,43.5122
2024-12-28,43.5122
2024-12-29,43.5122
2024-12-30,43.7479
2024-12-31,43.9266
2025-01-01,43.6855
2025-01-02,43.6052
2025-01-03,43.3753
2025-01-04,43.3753
2025-01-05,43.3753
2025-01-06,43.3347
2025-01-07,43.9091
2025-01-08,43.8767
2025-01-09,43.4272
2025-01-10,43.5594
2025-01-11,43.5594
2025-01-12,43.5594
2025-01-13,43.5738
2025-01-14,43.1273
2025-01-15,43.3218
2025-01-16,43.5297
2025-01-17,43.32
2025-01-18,43.32
2025-01-19,43.32
2025-01-20,43.3684
2025-01-21,43.4998
2025-01-22,43.6419
2025-01-23,43.8735
2025-01-24,43.6709
2025-01-25,43.6709
2025-01-26,43.6709
2025-01-27,43.9168
2025-01-28,44.146
2025-01-29,43.7843
2025-01-30,43.6192
2025-01-31,43.5097
2025-02-01,43.5097
2025-02-02,43.5097
2025-02-03,43.3244
2025-02-04,42.8627
2025-02-05,43.117
2025-02-06,43.4081
2025-02-07,42.9792
2025-02-08,42.9792
2025-02-09,42.9792
2025-02-10,43.0327
2025-02-11,42.8955
2025-02-12,43.0114
2025-02-13,43.3557
2025-02-14,43.4361
2025-02-15,43.4361
2025-02-16,43.4361
